,text,label
8,Hi So I just got a call from my midwife that my liver levels are fine however my gallbladder blood work came back a little elevated which is causing Chloestasis Has anyone ever heard or had this I m still not sure what this means She mentioned that the normal is 10 and my blood work came back at 14 And now I have to meet with the high risk team and get testing done I m freaking out now especially I have no idea what this is or what it causes If any of you have heard of this or have had this any insight would be greatly appreciated Sometimes it s easier to understand info from other moms or pregnant women than the doctor n nI went in to get my tdap vaccine last week and mentioned that late at night I get some itching in my arms and chest it s not unbearable but it does last a couple mins before it stops which is why my doc recommended getting blood work done n nI have noticed that baby doesn t move alllllll the time like I think he should be but there are moments throughout the day where he is super active for a couple of minutes n nPlease help I m totally freaking out,6
8,Hi So I just got a call from my midwife that my liver levels are fine however my gallbladder blood work came back a little elevated which is causing Chloestasis Has anyone ever heard or had this I m still not sure what this means She mentioned that the normal is 10 and my blood work came back at 14 And now I have to meet with the high risk team and get testing done I m freaking out now especially I have no idea what this is or what it causes If any of you have heard of this or have had this any insight would be greatly appreciated Sometimes it s easier to understand info from other moms or pregnant women than the doctor n nI went in to get my tdap vaccine last week and mentioned that late at night I get some itching in my arms and chest it s not unbearable but it does last a couple mins before it stops which is why my doc recommended getting blood work done n nI have noticed that baby doesn t move alllllll the time like I think he should be but there are moments throughout the day where he is super active for a couple of minutes n nPlease help I m totally freaking out,3
9,https www factcheck org 2022 08 scicheck covid 19 vaccination doesnt increase miscarriage risk contrary to naomi wolfs spurious stat Where in the world does it state that there s no way n nETA check your facts before spreading medical misinformation nOpens a new window,0
10,https www factcheck org 2022 08 scicheck covid 19 vaccination doesnt increase miscarriage risk contrary to naomi wolfs spurious stat Where in the world does it state that there s no way n nETA check your facts before spreading medical misinformation nOpens a new window,1
11,Anyone concive after being vaccinated or significant other being vaccinated,5
11,Anyone concive after being vaccinated or significant other being vaccinated,1
11,Anyone concive after being vaccinated or significant other being vaccinated,0
12,Anyone concive after being vaccinated or significant other being vaccinated,3
13,It depends on the pediatrician My fist kid s pediatrician was a stickler on the Vax schedule My daughter had severe reactions to all her vaccines skin rashes excama fevers pain loopyness Her pediatrician was always like that s normal As a first time mom I was just like okay n nHowever after some research I found another pediatrician that was open to alternate vaccines schedules where they are spread out and not given so much at one time n nMy 2nd 3rd and now my 4th kid have not had such strong reactions like my first kid did My kid s pediatrician listens to my concerns and does not treat my kids as a one size fits all box,5
13,It depends on the pediatrician My fist kid s pediatrician was a stickler on the Vax schedule My daughter had severe reactions to all her vaccines skin rashes excama fevers pain loopyness Her pediatrician was always like that s normal As a first time mom I was just like okay n nHowever after some research I found another pediatrician that was open to alternate vaccines schedules where they are spread out and not given so much at one time n nMy 2nd 3rd and now my 4th kid have not had such strong reactions like my first kid did My kid s pediatrician listens to my concerns and does not treat my kids as a one size fits all box,1
13,It depends on the pediatrician My fist kid s pediatrician was a stickler on the Vax schedule My daughter had severe reactions to all her vaccines skin rashes excama fevers pain loopyness Her pediatrician was always like that s normal As a first time mom I was just like okay n nHowever after some research I found another pediatrician that was open to alternate vaccines schedules where they are spread out and not given so much at one time n nMy 2nd 3rd and now my 4th kid have not had such strong reactions like my first kid did My kid s pediatrician listens to my concerns and does not treat my kids as a one size fits all box,4
13,It depends on the pediatrician My fist kid s pediatrician was a stickler on the Vax schedule My daughter had severe reactions to all her vaccines skin rashes excama fevers pain loopyness Her pediatrician was always like that s normal As a first time mom I was just like okay n nHowever after some research I found another pediatrician that was open to alternate vaccines schedules where they are spread out and not given so much at one time n nMy 2nd 3rd and now my 4th kid have not had such strong reactions like my first kid did My kid s pediatrician listens to my concerns and does not treat my kids as a one size fits all box,0
15,Good morning Pretty sure I had a reaction to my covid vaccine yesterday Chills achey headache and super tired I went to bed at 6 Feeling much better today thankfully,1
17,I have been fully vaccinated for 6 weeks now It was highly recommended to me by both my MFM doctor and my OB I received the Pfizer vaccine Sore arm after the first shot but carrying a 30 pound toddler contributed I got a headache the next day after the second shot But a dose of Tylenol took care of it,6
17,I have been fully vaccinated for 6 weeks now It was highly recommended to me by both my MFM doctor and my OB I received the Pfizer vaccine Sore arm after the first shot but carrying a 30 pound toddler contributed I got a headache the next day after the second shot But a dose of Tylenol took care of it,1
19,My husband and I decided not to get the COVID vaccine for our LO We are both covid vaccinated but just don t feel comfortable getting it for LO yet,0
20,My husband and I decided not to get the COVID vaccine for our LO We are both covid vaccinated but just don t feel comfortable getting it for LO yet,5
21,I get a cold after my flu vaccine It s not an active virus just an immune response I m glad I got it though bc I work with patients who have the flu and I have been able to avoid getting it,1
21,I get a cold after my flu vaccine It s not an active virus just an immune response I m glad I got it though bc I work with patients who have the flu and I have been able to avoid getting it,6
23,If you aren t vaccinated I wouldn t go Period n nIf you are vaccinated I would talk to your doctor and even if I got the okay I would still consider not going It s heartbreaking but I don t know that I would want to risk potential exposure to the Delta variant while flying or at a funeral even if vaccinated or risk giving birth in a hospital that far from home,0
24,If you aren t vaccinated I wouldn t go Period n nIf you are vaccinated I would talk to your doctor and even if I got the okay I would still consider not going It s heartbreaking but I don t know that I would want to risk potential exposure to the Delta variant while flying or at a funeral even if vaccinated or risk giving birth in a hospital that far from home,5
25,I m a NICU RN I got my 1st dose of the Pfizer vaccine almost 3 weeks ago I didn t have any side effects Arm was tiny bit sore the next day I m getting my 2nd dose tomorrow morning My doctor told me it was my choice but he didn t tell me to not get it I went with the recommendation from ACOG I ve been exposed to Covid 19 multiple times in the past months but never got it thankfully For me getting the vaccine is a relief vs the months of worry of catching covid or bringing it home to my family,6
26,I m a NICU RN I got my 1st dose of the Pfizer vaccine almost 3 weeks ago I didn t have any side effects Arm was tiny bit sore the next day I m getting my 2nd dose tomorrow morning My doctor told me it was my choice but he didn t tell me to not get it I went with the recommendation from ACOG I ve been exposed to Covid 19 multiple times in the past months but never got it thankfully For me getting the vaccine is a relief vs the months of worry of catching covid or bringing it home to my family,2
26,I m a NICU RN I got my 1st dose of the Pfizer vaccine almost 3 weeks ago I didn t have any side effects Arm was tiny bit sore the next day I m getting my 2nd dose tomorrow morning My doctor told me it was my choice but he didn t tell me to not get it I went with the recommendation from ACOG I ve been exposed to Covid 19 multiple times in the past months but never got it thankfully For me getting the vaccine is a relief vs the months of worry of catching covid or bringing it home to my family,1
27,FWIW I developed a life threatening reaction to the tDap I got during my first pregnancy It caused an autoimmune condiction I am now immunocompromised and I ve been told I should never receive another vaccine and neither should my children because genetic tests show they have the same issues I do and any shot could would likely result in the same issues for them I understand that people are not born with a host of scary germs inside them just waiting for a shot to protect them The only way to contract those diseases is by being around people who are currently infected or most commonly people who have recently been vaccinated because they are shedding the live virus in their bodily fluids for 6 weeks after getting a shot So grandma who gets their tDap 3 weeks before baby arrives is WAY more dangerous than Step Daughter or her little brother neither of which are currently infected or potential carriers due to recent immunizations For our family its Tdap For my stepdaughter it s everything because h This is what is confusing to me How is her little brother immunization statues a factor at all If Step Daughter has been vaccinated it doesn t matter if he s been vaccinated or not If you believe vaccines work then you should trust your Step Daughter is protected and she d only need to get whatever she personally is behind on I was very pro vax my entire life until i was vaccine injured and I now know way more than I care to know about how the body forms immunity and the effectiveness or lack thereof of vaccines You are allowed to put whatever constraints on visits with your child as you wish but you cannot demand anyone put anything into their body they object to That s the difference between saying you must get the X shot and we aren t allowing baby near unvaccinated people until they are X age or have received X shot I get that it s the in thing to hate on anti vaxxers and claim they re ignorant anti science crazies but a little bit of compassion and understanding goes a long way Whatever your DH s ex s reasons for not getting her kids their shots it s not up to you to judge And only the SD s vax status is of ANY concern to you not her little bro s You either believe that her being up to date on HER shots protects her from those diseases or you don t believe they work are protecting her If you don t believe the vaccines are protecting her then why demand anyone get any shots at all,1
27,FWIW I developed a life threatening reaction to the tDap I got during my first pregnancy It caused an autoimmune condiction I am now immunocompromised and I ve been told I should never receive another vaccine and neither should my children because genetic tests show they have the same issues I do and any shot could would likely result in the same issues for them I understand that people are not born with a host of scary germs inside them just waiting for a shot to protect them The only way to contract those diseases is by being around people who are currently infected or most commonly people who have recently been vaccinated because they are shedding the live virus in their bodily fluids for 6 weeks after getting a shot So grandma who gets their tDap 3 weeks before baby arrives is WAY more dangerous than Step Daughter or her little brother neither of which are currently infected or potential carriers due to recent immunizations For our family its Tdap For my stepdaughter it s everything because h This is what is confusing to me How is her little brother immunization statues a factor at all If Step Daughter has been vaccinated it doesn t matter if he s been vaccinated or not If you believe vaccines work then you should trust your Step Daughter is protected and she d only need to get whatever she personally is behind on I was very pro vax my entire life until i was vaccine injured and I now know way more than I care to know about how the body forms immunity and the effectiveness or lack thereof of vaccines You are allowed to put whatever constraints on visits with your child as you wish but you cannot demand anyone put anything into their body they object to That s the difference between saying you must get the X shot and we aren t allowing baby near unvaccinated people until they are X age or have received X shot I get that it s the in thing to hate on anti vaxxers and claim they re ignorant anti science crazies but a little bit of compassion and understanding goes a long way Whatever your DH s ex s reasons for not getting her kids their shots it s not up to you to judge And only the SD s vax status is of ANY concern to you not her little bro s You either believe that her being up to date on HER shots protects her from those diseases or you don t believe they work are protecting her If you don t believe the vaccines are protecting her then why demand anyone get any shots at all,5
27,FWIW I developed a life threatening reaction to the tDap I got during my first pregnancy It caused an autoimmune condiction I am now immunocompromised and I ve been told I should never receive another vaccine and neither should my children because genetic tests show they have the same issues I do and any shot could would likely result in the same issues for them I understand that people are not born with a host of scary germs inside them just waiting for a shot to protect them The only way to contract those diseases is by being around people who are currently infected or most commonly people who have recently been vaccinated because they are shedding the live virus in their bodily fluids for 6 weeks after getting a shot So grandma who gets their tDap 3 weeks before baby arrives is WAY more dangerous than Step Daughter or her little brother neither of which are currently infected or potential carriers due to recent immunizations For our family its Tdap For my stepdaughter it s everything because h This is what is confusing to me How is her little brother immunization statues a factor at all If Step Daughter has been vaccinated it doesn t matter if he s been vaccinated or not If you believe vaccines work then you should trust your Step Daughter is protected and she d only need to get whatever she personally is behind on I was very pro vax my entire life until i was vaccine injured and I now know way more than I care to know about how the body forms immunity and the effectiveness or lack thereof of vaccines You are allowed to put whatever constraints on visits with your child as you wish but you cannot demand anyone put anything into their body they object to That s the difference between saying you must get the X shot and we aren t allowing baby near unvaccinated people until they are X age or have received X shot I get that it s the in thing to hate on anti vaxxers and claim they re ignorant anti science crazies but a little bit of compassion and understanding goes a long way Whatever your DH s ex s reasons for not getting her kids their shots it s not up to you to judge And only the SD s vax status is of ANY concern to you not her little bro s You either believe that her being up to date on HER shots protects her from those diseases or you don t believe they work are protecting her If you don t believe the vaccines are protecting her then why demand anyone get any shots at all,2
29,I had a similar experience I had a very severe case of covid with serious respiratory complications in my first trimester I knew without a second thought that I would be getting the vaccine when I was eligible It was NOT something I wished to every go through again I was vaccinated at 17 and 20 weeks with the pfizer and 0 regrets DH gets his second dose of the Moderna tomorrow and I cannot wait for us both to be fully vaccinated,1
30,I had a similar experience I had a very severe case of covid with serious respiratory complications in my first trimester I knew without a second thought that I would be getting the vaccine when I was eligible It was NOT something I wished to every go through again I was vaccinated at 17 and 20 weeks with the pfizer and 0 regrets DH gets his second dose of the Moderna tomorrow and I cannot wait for us both to be fully vaccinated,4
32,I feel like we post about this A LOT but the last 4 days my son has been taking ONE 45 60 min nap and waking for 3 4 hours at night I ve tried moving his nap time putting him in his crib for a second nap and he just lays there and talks to himself I am going a little crazy Not sure if there is a LEAP around this time of age But he also got vaccines on Monday and I m not sure if that has anything to do with it But any suggestions would be appreciated,1
33,this is NOT a post to shame those who have gotten infected or to debate ANY of the science I ve seen several posts lately with babies who have gotten had COVID and I m curious about how you all think the baby was exposed I ask because my husband and I are staunch mask wearers as are most of our immediate family and friends We have not been around anyone unmasked Period Not his mom or my dad or at the store No one We are also vaccinated I m a medical professional he s a mortician funeral director Some of our family has been able to be vaccinated as well nWe practice social distancing and we wash our hands So we are clearly taking precautions But I know nothing is 100 Was it a mask less interaction with someone you thought was safe Was it daycare Was it an older sibling who is in person learning Please tell me it WASN T Target Lol Baby has only been inside the store with me once or twice,2
34,this is NOT a post to shame those who have gotten infected or to debate ANY of the science I ve seen several posts lately with babies who have gotten had COVID and I m curious about how you all think the baby was exposed I ask because my husband and I are staunch mask wearers as are most of our immediate family and friends We have not been around anyone unmasked Period Not his mom or my dad or at the store No one We are also vaccinated I m a medical professional he s a mortician funeral director Some of our family has been able to be vaccinated as well nWe practice social distancing and we wash our hands So we are clearly taking precautions But I know nothing is 100 Was it a mask less interaction with someone you thought was safe Was it daycare Was it an older sibling who is in person learning Please tell me it WASN T Target Lol Baby has only been inside the store with me once or twice,0
35,Genuinely asking and not judging but what are you allergic to in the mRNA vaccines I have not seen many people need to avoid due to allergy so I m just curious,5
35,Genuinely asking and not judging but what are you allergic to in the mRNA vaccines I have not seen many people need to avoid due to allergy so I m just curious,3
36,Genuinely asking and not judging but what are you allergic to in the mRNA vaccines I have not seen many people need to avoid due to allergy so I m just curious,1
37,I got the first dose of the vaccine on Friday The only effects on me were a sore and bruised arm at the injection site The vaccine is supported by ACOG for pregnant and lactating women I m exclusively pumping so baby won t get my post vaccine milk for at least another week or so,1
38,I got the first dose of the vaccine on Friday The only effects on me were a sore and bruised arm at the injection site The vaccine is supported by ACOG for pregnant and lactating women I m exclusively pumping so baby won t get my post vaccine milk for at least another week or so,6
38,I got the first dose of the vaccine on Friday The only effects on me were a sore and bruised arm at the injection site The vaccine is supported by ACOG for pregnant and lactating women I m exclusively pumping so baby won t get my post vaccine milk for at least another week or so,4
39,OP you ve had many posts lately surrounding anxiety over the vaccine I feel like this is another spiral of anxiety to make you hesitate more Are you currently on medication I feel like that would benefit you not just for the vaccine hesitancy but for the overall anxiety,5
39,OP you ve had many posts lately surrounding anxiety over the vaccine I feel like this is another spiral of anxiety to make you hesitate more Are you currently on medication I feel like that would benefit you not just for the vaccine hesitancy but for the overall anxiety,0
40,OP you ve had many posts lately surrounding anxiety over the vaccine I feel like this is another spiral of anxiety to make you hesitate more Are you currently on medication I feel like that would benefit you not just for the vaccine hesitancy but for the overall anxiety,3
41,With my first baby I delayed Hep B MMR and chickenpox vaccines til preschool here in NYC Universal PreK is at 3 years old He will be 2 years old in 9 days so he will get those 3 vaccines sometime next year We don t do daycare expensive plus I rather me or a family member take care of our children so we dont have to take all the shots at once He got 1 combination shot Tdap HiB and polio 1 shot of pneumonia vax and 1 oral vaccine rotavirus He also got HepA shots at 1 year old Plan to do the same with this baby nThe delayed vaccines I did based on my research of contents of each vaccine on medical websites,4
41,With my first baby I delayed Hep B MMR and chickenpox vaccines til preschool here in NYC Universal PreK is at 3 years old He will be 2 years old in 9 days so he will get those 3 vaccines sometime next year We don t do daycare expensive plus I rather me or a family member take care of our children so we dont have to take all the shots at once He got 1 combination shot Tdap HiB and polio 1 shot of pneumonia vax and 1 oral vaccine rotavirus He also got HepA shots at 1 year old Plan to do the same with this baby nThe delayed vaccines I did based on my research of contents of each vaccine on medical websites,3
43,My baby is 6 months old I missed 2nd PCV vaccine at 4th month Can I give the 2nd dose now and 3rd dose at 8th month I moved out of USA and the vaccine schedule is different here,4
43,My baby is 6 months old I missed 2nd PCV vaccine at 4th month Can I give the 2nd dose now and 3rd dose at 8th month I moved out of USA and the vaccine schedule is different here,3
45,I m 35 weeks today super excited but nervous to see what labor is like I m a ftm so I m a bit anxious about it all nI have to see my Dr tomorrow to get the whopping cough vaccine and get tested for GBS nIt s been harder for me to sleep at night lately,0
46,I m 35 weeks today super excited but nervous to see what labor is like I m a ftm so I m a bit anxious about it all nI have to see my Dr tomorrow to get the whopping cough vaccine and get tested for GBS nIt s been harder for me to sleep at night lately,4
47,It isn t approved here yet but I think it should be in the next month or two My two will be getting vaccinated as soon as they can,4
47,It isn t approved here yet but I think it should be in the next month or two My two will be getting vaccinated as soon as they can,6
49,Ladies nMy baby is going to get the COVID vaccine tomorrow morning Please let me know what side effects we would be experiencing if you have already gotten the shot I m very nervous,3
49,Ladies nMy baby is going to get the COVID vaccine tomorrow morning Please let me know what side effects we would be experiencing if you have already gotten the shot I m very nervous,1
49,Ladies nMy baby is going to get the COVID vaccine tomorrow morning Please let me know what side effects we would be experiencing if you have already gotten the shot I m very nervous,4
49,Ladies nMy baby is going to get the COVID vaccine tomorrow morning Please let me know what side effects we would be experiencing if you have already gotten the shot I m very nervous,0
51,I may be the odd one out but me and my family will not be vaccinated I don t judge people who are though Your body your choice,0
52,I may be the odd one out but me and my family will not be vaccinated I don t judge people who are though Your body your choice,5
53,Like you said your baby you need to protect her From vaccinated and unvaccinated people PERIOD He probably feels like your choosing your family over his n nEither way your job is to protect your child if you don t stand your ground then who will protect her for you n nAlso edited to add you and his really need to sit down and come to common grounds and be on the same page regardless He needs to support you and have you back if it means protecting your children and household,2
54,Like you said your baby you need to protect her From vaccinated and unvaccinated people PERIOD He probably feels like your choosing your family over his n nEither way your job is to protect your child if you don t stand your ground then who will protect her for you n nAlso edited to add you and his really need to sit down and come to common grounds and be on the same page regardless He needs to support you and have you back if it means protecting your children and household,0
55,You re still seeing the same amount of people for the same amount of time but dividing it up Prior infection of Covid doesn t mean immunity Your DD is not vaccinated You re choosing to out her at risk and then your husbands family after this fiasco simply because you see them frequently,2
56,You re still seeing the same amount of people for the same amount of time but dividing it up Prior infection of Covid doesn t mean immunity Your DD is not vaccinated You re choosing to out her at risk and then your husbands family after this fiasco simply because you see them frequently,5
57,Yes they are safe No vaccines don t cause autism Everything your doctor said is true nWe personally will not be spacing them out we will follow our pediatrians normal vaccine schedule,6
58,Yes they are safe No vaccines don t cause autism Everything your doctor said is true nWe personally will not be spacing them out we will follow our pediatrians normal vaccine schedule,4
59,I had covid in Dec 2020 just before I was eligible to be vaccinated right after I found out I was pregnant I was sick symptomatic but not hospitalized Lost my August baby girl at 15 weeks in March 2021 Covid remains on the very short list of possible causes,0
60,I had covid in Dec 2020 just before I was eligible to be vaccinated right after I found out I was pregnant I was sick symptomatic but not hospitalized Lost my August baby girl at 15 weeks in March 2021 Covid remains on the very short list of possible causes,1
61,My son had a fever we re assuming didn t check for probably 2 days 8 days after the vaccines He still acted normal just tired and warm to the touch We only gave him Tylenol once because he wasn t too bothered by it,1
61,My son had a fever we re assuming didn t check for probably 2 days 8 days after the vaccines He still acted normal just tired and warm to the touch We only gave him Tylenol once because he wasn t too bothered by it,4
61,My son had a fever we re assuming didn t check for probably 2 days 8 days after the vaccines He still acted normal just tired and warm to the touch We only gave him Tylenol once because he wasn t too bothered by it,0
63,no a rash I mean if you re going to post something negative at least have your information correct I wouldn t rule out angioedema or urticaria Yup I noticed a negative remark she made on another post in reference to vaccines Almost all the comments she makes are about vaccines and basically how,3
65,Thanks for the input ladies I see my vaccine cautious doctor tomorrow and hes super knowledgeable on hormones so I m glad to have him as a resource and will update after that We re likely done having babies maybe one more if I m lucky so its not a huge deal to become infertile for me however I m not vaccinating my DD because of that unknown right now I do know for a 100 fact the vaccine caused my tinnitus I m wondering if it caused like an inflammatory response Left ear only and I got the shot in my left arm We went to the mountains and my ears had so much pressure while the rest of my family was fine So I m hopeful it could be something a steroid could fix DH got his with me and does not have ear ringing like I do,1
66,Thanks for the input ladies I see my vaccine cautious doctor tomorrow and hes super knowledgeable on hormones so I m glad to have him as a resource and will update after that We re likely done having babies maybe one more if I m lucky so its not a huge deal to become infertile for me however I m not vaccinating my DD because of that unknown right now I do know for a 100 fact the vaccine caused my tinnitus I m wondering if it caused like an inflammatory response Left ear only and I got the shot in my left arm We went to the mountains and my ears had so much pressure while the rest of my family was fine So I m hopeful it could be something a steroid could fix DH got his with me and does not have ear ringing like I do,5
67,Absolutely So he got it last Wednesday He flinched a little when they gave it to him in his arm and then they watched him for the 15 mins A few hours later he said his arm was sore and that continued until the next morning and then by noon he wasn t sore anymore He found it hard to sleep on that arm But there was no reaction other than that no fever or anything He was so excited to get covid ninjas since he s been wanting get the vaccine for more protection,1
68,Absolutely So he got it last Wednesday He flinched a little when they gave it to him in his arm and then they watched him for the 15 mins A few hours later he said his arm was sore and that continued until the next morning and then by noon he wasn t sore anymore He found it hard to sleep on that arm But there was no reaction other than that no fever or anything He was so excited to get covid ninjas since he s been wanting get the vaccine for more protection,6
68,Absolutely So he got it last Wednesday He flinched a little when they gave it to him in his arm and then they watched him for the 15 mins A few hours later he said his arm was sore and that continued until the next morning and then by noon he wasn t sore anymore He found it hard to sleep on that arm But there was no reaction other than that no fever or anything He was so excited to get covid ninjas since he s been wanting get the vaccine for more protection,2
69,Yes nStarted with holds curbside only last year Then limit capacity and hours no chairs or reading no magazines or newspapers Limited to 20 minutes Then restrictions lessens n nOnce vaccinate was available to everyone all restrictions lifted for library but still no in person events or programs virtual only But we can use computer print check out books n nWe did holds and curbside for about 6 9months,6
69,Yes nStarted with holds curbside only last year Then limit capacity and hours no chairs or reading no magazines or newspapers Limited to 20 minutes Then restrictions lessens n nOnce vaccinate was available to everyone all restrictions lifted for library but still no in person events or programs virtual only But we can use computer print check out books n nWe did holds and curbside for about 6 9months,0
71,Also part of me is always nervous for what she picks up from the plane They fly out of JFK and she isn t vaccinated for anything I mean I don t exactly think she s bringing yellow fever but the flu yes She s only been here one day so I m just scared that I m a few days from now she will be really sick This is prob me being neurotic but I just REALLY don t have the energy for everyone in my house to be sick,2
72,Also part of me is always nervous for what she picks up from the plane They fly out of JFK and she isn t vaccinated for anything I mean I don t exactly think she s bringing yellow fever but the flu yes She s only been here one day so I m just scared that I m a few days from now she will be really sick This is prob me being neurotic but I just REALLY don t have the energy for everyone in my house to be sick,5
72,Also part of me is always nervous for what she picks up from the plane They fly out of JFK and she isn t vaccinated for anything I mean I don t exactly think she s bringing yellow fever but the flu yes She s only been here one day so I m just scared that I m a few days from now she will be really sick This is prob me being neurotic but I just REALLY don t have the energy for everyone in my house to be sick,0
73,I m super nervous bc I want to get boosted but had really bad reactions every time I was vaccinated fever being the one that scares me bc could it hurt my baby obviously also scared of a covid strain that could do the same thing Ugggh my docs aren t helping bc they aren t sure either but are advising to hunker down if I don t get vaxxed Full disclosure I ve had hospitalization from an allergic reaction to a preservative in a vaccine not covid flu so they are extra leary with me =,1
73,I m super nervous bc I want to get boosted but had really bad reactions every time I was vaccinated fever being the one that scares me bc could it hurt my baby obviously also scared of a covid strain that could do the same thing Ugggh my docs aren t helping bc they aren t sure either but are advising to hunker down if I don t get vaxxed Full disclosure I ve had hospitalization from an allergic reaction to a preservative in a vaccine not covid flu so they are extra leary with me =,5
74,I m super nervous bc I want to get boosted but had really bad reactions every time I was vaccinated fever being the one that scares me bc could it hurt my baby obviously also scared of a covid strain that could do the same thing Ugggh my docs aren t helping bc they aren t sure either but are advising to hunker down if I don t get vaxxed Full disclosure I ve had hospitalization from an allergic reaction to a preservative in a vaccine not covid flu so they are extra leary with me =,2
74,I m super nervous bc I want to get boosted but had really bad reactions every time I was vaccinated fever being the one that scares me bc could it hurt my baby obviously also scared of a covid strain that could do the same thing Ugggh my docs aren t helping bc they aren t sure either but are advising to hunker down if I don t get vaxxed Full disclosure I ve had hospitalization from an allergic reaction to a preservative in a vaccine not covid flu so they are extra leary with me =,0
75,Yes But it is not true that the vaccine targets anything about reproduction,6
75,Yes But it is not true that the vaccine targets anything about reproduction,0
77,It s a dead virus Can t cause the flu just from getting vaccinated,0
78,It s a dead virus Can t cause the flu just from getting vaccinated,1
79,I have heard this too Our doctor offers Tylenol but I have never had them give it to my kids They give me the dosage chart though and I have the Tylenol at home incase I feel like they actually need it I guess I just don t see the point of giving it unless it s necessary especially if there is a chance that the vaccine may not work as well,0
79,I have heard this too Our doctor offers Tylenol but I have never had them give it to my kids They give me the dosage chart though and I have the Tylenol at home incase I feel like they actually need it I guess I just don t see the point of giving it unless it s necessary especially if there is a chance that the vaccine may not work as well,5
81,Agree with above commenter You can t force your niece to get vaccinated but you do make the rules about who interacts with you your baby and under what circumstances With the current state of things I don t think you re requirement for your niece to be vaccinated is unreasonable,6
81,Agree with above commenter You can t force your niece to get vaccinated but you do make the rules about who interacts with you your baby and under what circumstances With the current state of things I don t think you re requirement for your niece to be vaccinated is unreasonable,2
82,Agree with above commenter You can t force your niece to get vaccinated but you do make the rules about who interacts with you your baby and under what circumstances With the current state of things I don t think you re requirement for your niece to be vaccinated is unreasonable,0
83,I am vaccinated and had my first booster before I got pregnant I got Covid about 2 weeks ago Check in with your OB but mine told me to rest so I didn t run myself down and baby would be fine Sorry though it still sucks and is stress you don t need right now,6
